交易所标识_Exchflg,市场标识_Mktflg,日期_Date,市场溢酬因子__流通市值加权_Rmrf_tmv,市值因子__流通市值加权_Smb_tmv,账面市值比因子__流通市值加权_Hml_tmv,市场溢酬因子__总市值加权_Rmrf_mc,市值因子__总市值加权_Smb_mc,账面市值比因子__总市值加权_Hml_mc,
"1","A",2017-12-22,"0.0113","-0.0235","0.0085","0.0099","-0.0226","0.0067"
"1","A",2017-12-29,"0.0020","-0.0057","0.0056","0.0027","0.0034","0.0063"
"1","A",2018-01-05,"0.0263","-0.0110","0.0118","0.0254","-0.0083","0.0180"
"1","A",2018-01-12,"0.0126","-0.0163","-0.0023","0.0105","-0.0205","-0.0042"
"1","A",2018-01-19,"0.0188","-0.0096","0.0237","0.0167","-0.0052","0.0233"
"1","A",2018-01-26,"0.0221","-0.0191","0.0034","0.0205","-0.0133","0.0023"
"1","A",2018-02-02,"-0.0232","-0.0488","0.0464","-0.0286","-0.0432","0.0405"
"1","A",2018-02-09,"-0.1013","0.0181","-0.0182","-0.0997","0.0129","-0.0221"
"1","A",2018-02-14,"0.0221","0.0042","-0.0208","0.0220","0.0038","-0.0156"
"1","A",2018-02-23,"0.0286","-0.0063","0.0046","0.0282","-0.0051","0.0048"
"1","A",2018-03-02,"-0.0146","0.0249","-0.0248","-0.0100","0.0172","-0.0318"
"1","A",2018-03-09,"0.0139","0.0066","-0.0101","0.0161","-0.0039","-0.0128"
"1","A",2018-03-16,"-0.0113","0.0040","-0.0079","-0.0125","-0.0010","-0.0057"
"1","A",2018-03-23,"-0.0343","-0.0100","-0.0183","-0.0377","-0.0188","-0.0169"
"1","A",2018-03-30,"-0.0012","0.0328","-0.0133","0.0044","0.0245","-0.0176"
"1","A",2018-04-04,"-0.0137","0.0005","-0.0143","-0.0129","-0.0062","-0.0133"
"1","A",2018-04-13,"0.0075","-0.0005","0.0198","0.0085","-0.0004","0.0139"
"1","A",2018-04-20,"-0.0275","-0.0137","0.0008","-0.0290","-0.0087","-0.0045"
"1","A",2018-04-27,"0.0042","-0.0035","0.0157","0.0036","-0.0118","0.0105"
"1","A",2018-05-04,"0.0020","-0.0005","0.0004","0.0025","-0.0023","-0.0009"
"1","A",2018-05-11,"0.0245","-0.0091","-0.0013","0.0240","-0.0055","-0.0059"
"1","A",2018-05-18,"0.0091","-0.0087","0.0070","0.0103","-0.0192","0.0056"
"1","A",2018-05-25,"-0.0199","0.0079","-0.0146","-0.0152","0.0048","-0.0162"
"1","A",2018-06-01,"-0.0195","-0.0201","0.0017","-0.0220","-0.0228","-0.0098"
"1","A",2018-06-08,"-0.0007","-0.0136","-0.0087","-0.0004","-0.0098","-0.0118"
"1","A",2018-06-15,"-0.0094","-0.0264","0.0315","-0.0125","-0.0287","0.0356"
"1","A",2018-06-22,"-0.0401","-0.0356","0.0143","-0.0455","-0.0423","0.0103"
"1","A",2018-06-29,"-0.0182","0.0187","-0.0094","-0.0141","0.0230","-0.0056"
"1","A",2018-07-06,"-0.0339","0.0024","-0.0035","-0.0357","-0.0001","-0.0014"
"1","A",2018-07-13,"0.0363","-0.0151","-0.0192","0.0373","-0.0146","-0.0199"
"1","A",2018-07-20,"0.0031","0.0085","0.0038","0.0012","0.0078","0.0058"
"1","A",2018-07-27,"0.0176","0.0223","0.0147","0.0163","0.0223","0.0355"
"1","A",2018-08-03,"-0.0444","-0.0030","0.0229","-0.0479","-0.0006","0.0319"
"1","A",2018-08-10,"0.0227","-0.0009","0.0028","0.0205","0.0023","0.0131"
"1","A",2018-08-17,"-0.0455","0.0058","0.0106","-0.0462","0.0042","0.0072"
"1","A",2018-08-24,"0.0238","-0.0116","-0.0031","0.0228","-0.0093","-0.0060"
"1","A",2018-08-31,"-0.0009","-0.0074","0.0030","-0.0021","-0.0066","0.0048"
"1","A",2018-09-07,"-0.0106","0.0063","0.0017","-0.0085","0.0047","0.0015"
"1","A",2018-09-14,"-0.0056","-0.0004","0.0240","-0.0075","0.0003","0.0216"
"1","A",2018-09-21,"0.0467","-0.0253","-0.0020","0.0438","-0.0237","-0.0009"
"1","A",2018-09-28,"0.0099","-0.0244","0.0007","0.0078","-0.0192","0.0010"
"1","A",2018-10-12,"-0.0727","-0.0324","0.0167","-0.0772","-0.0293","0.0172"
"1","A",2018-10-19,"-0.0211","-0.0062","0.0154","-0.0223","-0.0109","0.0019"
"1","A",2018-10-26,"0.0162","0.0462","0.0083","0.0189","0.0477","0.0192"
"1","A",2018-11-02,"0.0270","0.0040","-0.0088","0.0299","0.0039","-0.0144"
"1","A",2018-11-09,"-0.0303","0.0417","-0.0066","-0.0297","0.0406","0.0065"
"1","A",2018-11-16,"0.0265","0.0552","-0.0065","0.0305","0.0519","-0.0015"
"1","A",2018-11-23,"-0.0350","-0.0165","-0.0042","-0.0340","-0.0170","-0.0043"
"1","A",2018-11-30,"0.0037","-0.0031","0.0011","0.0013","-0.0021","-0.0059"
"1","A",2018-12-07,"0.0059","0.0010","-0.0082","0.0063","0.0040","-0.0079"
"1","A",2018-12-14,"-0.0049","-0.0227","0.0017","-0.0053","-0.0226","0.0002"
"1","A",2018-12-21,"-0.0320","0.0125","0.0062","-0.0306","0.0116","0.0055"
"1","A",2018-12-28,"-0.0077","-0.0110","-0.0098","-0.0095","-0.0078","-0.0124"
"1","A",2019-01-04,"0.0073","0.0245","0.0012","0.0079","0.0225","0.0080"
"1","A",2019-01-11,"0.0146","0.0112","-0.0129","0.0153","0.0109","-0.0055"
"1","A",2019-01-18,"0.0176","-0.0226","-0.0069","0.0158","-0.0223","-0.0100"
"1","A",2019-01-25,"0.0027","-0.0033","0.0024","0.0019","-0.0052","-0.0017"
"1","A",2019-02-01,"0.0075","-0.0466","0.0097","0.0055","-0.0443","0.0053"
"1","A",2019-02-15,"0.0201","0.0288","-0.0256","0.0240","0.0263","-0.0203"
"1","A",2019-02-22,"0.0435","0.0232","-0.0176","0.0451","0.0227","-0.0064"
"1","A",2019-03-01,"0.0644","-0.0052","-0.0067","0.0675","-0.0043","-0.0020"
"1","A",2019-03-08,"-0.0183","0.0499","-0.0063","-0.0079","0.0439","-0.0063"
"1","A",2019-03-15,"0.0216","0.0086","-0.0129","0.0169","0.0085","-0.0066"
"1","A",2019-03-22,"0.0258","0.0213","-0.0085","0.0268","0.0271","-0.0031"
"1","A",2019-03-29,"-0.0038","-0.0217","-0.0061","-0.0048","-0.0228","-0.0177"
"1","A",2019-04-04,"0.0504","0.0115","-0.0020","0.0501","0.0127","0.0056"
"1","A",2019-04-12,"-0.0162","0.0070","-0.0124","-0.0183","0.0073","-0.0011"
"1","A",2019-04-19,"0.0257","0.0032","-0.0111","0.0253","0.0037","-0.0049"
"1","A",2019-04-26,"-0.0566","-0.0233","-0.0031","-0.0567","-0.0202","-0.0171"
"1","A",2019-04-30,"0.0007","-0.0297","0.0099","-0.0032","-0.0310","0.0080"
"1","A",2019-05-10,"-0.0449","0.0108","0.0012","-0.0455","0.0102","-0.0029"
"1","A",2019-05-17,"-0.0182","0.0054","-0.0057","-0.0197","0.0055","-0.0010"
"1","A",2019-05-24,"-0.0095","-0.0063","0.0032","-0.0107","-0.0081","0.0000"
"1","A",2019-05-31,"0.0137","0.0101","-0.0168","0.0171","0.0086","-0.0166"
"1","A",2019-06-06,"-0.0202","-0.0296","0.0192","-0.0232","-0.0227","0.0141"
"1","A",2019-06-14,"0.0217","0.0023","-0.0173","0.0206","0.0051","-0.0154"
"1","A",2019-06-21,"0.0424","0.0040","-0.0058","0.0444","0.0064","-0.0110"
"1","A",2019-06-28,"-0.0043","-0.0167","-0.0081","-0.0059","-0.0181","-0.0121"
"1","A",2019-07-05,"0.0129","0.0023","0.0043","0.0141","0.0039","0.0069"
"1","A",2019-07-12,"-0.0225","-0.0037","-0.0059","-0.0233","0.0002","-0.0063"
"1","A",2019-07-19,"-0.0012","-0.0032","0.0099","-0.0010","-0.0021","0.0071"
"1","A",2019-07-26,"0.0079","-0.0130","-0.0100","0.0077","-0.0138","-0.0123"
"1","A",2019-08-02,"-0.0262","-0.0009","-0.0115","-0.0257","-0.0016","-0.0156"
"1","A",2019-08-09,"-0.0312","-0.0179","-0.0138","-0.0325","-0.0182","-0.0115"
"1","A",2019-08-16,"0.0161","0.0016","-0.0274","0.0178","-0.0018","-0.0291"
"1","A",2019-08-23,"0.0250","0.0043","-0.0142","0.0258","0.0028","-0.0094"
"1","A",2019-08-30,"-0.0053","-0.0068","-0.0040","-0.0042","-0.0086","-0.0026"
"1","A",2019-09-06,"0.0358","0.0137","0.0103","0.0391","0.0132","0.0026"
"1","A",2019-09-12,"0.0083","0.0186","0.0071","0.0101","0.0178","0.0078"
"1","A",2019-09-20,"-0.0078","-0.0068","-0.0187","-0.0081","-0.0055","-0.0259"
"1","A",2019-09-27,"-0.0233","-0.0107","-0.0012","-0.0246","-0.0071","-0.0057"
"1","A",2019-09-30,"-0.0089","-0.0024","0.0049","-0.0097","-0.0015","0.0039"
"1","A",2019-10-11,"0.0227","0.0027","-0.0022","0.0231","0.0049","0.0050"
"1","A",2019-10-18,"-0.0115","-0.0002","-0.0035","-0.0125","0.0016","-0.0037"
"1","A",2019-10-25,"0.0062","0.0074","0.0031","0.0051","0.0083","0.0088"
"1","A",2019-11-01,"0.0020","-0.0202","-0.0181","0.0007","-0.0176","-0.0160"
"1","A",2019-11-08,"0.0014","-0.0040","-0.0044","0.0014","-0.0054","-0.0093"
"1","A",2019-11-15,"-0.0248","-0.0081","-0.0177","-0.0252","-0.0107","-0.0192"
"1","A",2019-11-22,"-0.0021","0.0037","0.0142","-0.0025","0.0038","0.0192"
"1","A",2019-11-29,"-0.0042","-0.0008","0.0134","-0.0050","0.0002","0.0181"
"1","A",2019-12-06,"0.0118","0.0125","-0.0124","0.0132","0.0076","-0.0189"
"1","A",2019-12-13,"0.0177","-0.0009","0.0038","0.0186","-0.0024","0.0027"
"1","A",2019-12-20,"0.0100","0.0165","0.0085","0.0121","0.0182","0.0113"
"1","A",2019-12-27,"0.0004","-0.0042","-0.0033","-0.0001","-0.0044","-0.0046"
"1","A",2020-01-03,"0.0250","0.0134","0.0134","0.0256","0.0129","0.0156"
"1","A",2020-01-10,"0.0018","0.0093","-0.0151","0.0022","0.0094","-0.0168"
"1","A",2020-01-17,"-0.0076","0.0105","-0.0090","-0.0060","0.0048","-0.0183"
"1","A",2020-01-23,"-0.0350","-0.0022","-0.0108","-0.0319","-0.0057","-0.0142"
"1","A",2020-02-07,"-0.0344","-0.0108","-0.0534","-0.0335","-0.0149","-0.0493"
"1","A",2020-02-14,"0.0149","-0.0072","0.0077","0.0150","-0.0052","0.0044"
"1","A",2020-02-21,"0.0388","0.0345","-0.0101","0.0422","0.0356","-0.0133"
"1","A",2020-02-28,"-0.0504","-0.0085","0.0154","-0.0529","0.0008","0.0154"
"1","A",2020-03-06,"0.0529","0.0311","0.0051","0.0537","0.0364","0.0103"
"1","A",2020-03-13,"-0.0493","-0.0090","0.0032","-0.0486","-0.0035","0.0120"
"1","A",2020-03-20,"-0.0479","0.0159","-0.0004","-0.0498","0.0178","0.0007"
"1","A",2020-03-27,"0.0124","-0.0180","-0.0122","0.0094","-0.0196","-0.0053"
"1","A",2020-04-03,"-0.0034","-0.0102","-0.0229","-0.0033","-0.0103","-0.0273"
"1","A",2020-04-10,"0.0120","0.0055","-0.0086","0.0115","0.0056","-0.0015"
"1","A",2020-04-17,"0.0145","-0.0051","-0.0090","0.0147","-0.0085","-0.0111"
"1","A",2020-04-24,"-0.0102","0.0063","-0.0082","-0.0108","0.0052","-0.0119"
"1","A",2020-04-30,"0.0171","-0.0213","0.0044","0.0181","-0.0303","-0.0001"
"1","A",2020-05-08,"0.0116","0.0095","-0.0228","0.0128","0.0058","-0.0176"
"1","A",2020-05-15,"-0.0103","0.0134","-0.0132","-0.0089","0.0124","-0.0182"
"1","A",2020-05-22,"-0.0175","-0.0087","0.0010","-0.0191","-0.0077","0.0067"
"1","A",2020-05-29,"0.0137","0.0196","-0.0171","0.0144","0.0148","-0.0162"
"1","A",2020-06-05,"0.0271","0.0064","-0.0079","0.0281","0.0029","-0.0007"
"1","A",2020-06-12,"-0.0021","0.0042","-0.0153","-0.0012","-0.0069","-0.0168"
"1","A",2020-06-19,"0.0176","0.0024","-0.0054","0.0182","0.0005","-0.0136"
"1","A",2020-06-24,"0.0052","-0.0060","-0.0245","0.0055","-0.0079","-0.0262"
"1","A",2020-07-03,"0.0612","-0.0161","0.0159","0.0613","-0.0154","0.0156"
"1","A",2020-07-10,"0.0748","0.0053","-0.0190","0.0776","0.0038","-0.0248"
"1","A",2020-07-17,"-0.0445","0.0034","-0.0032","-0.0465","0.0072","0.0093"
"1","A",2020-07-24,"-0.0021","-0.0032","-0.0024","-0.0037","-0.0025","-0.0007"
"1","A",2020-07-31,"0.0335","0.0049","-0.0200","0.0347","0.0002","-0.0258"
"1","A",2020-08-07,"0.0133","0.0079","-0.0035","0.0138","0.0051","-0.0026"
"1","A",2020-08-14,"0.0029","-0.0021","0.0266","0.0021","0.0012","0.0246"
"1","A",2020-08-21,"0.0064","0.0115","-0.0007","0.0065","0.0091","-0.0037"
"1","A",2020-08-28,"0.0092","-0.0229","-0.0180","0.0065","-0.0228","-0.0226"
"1","A",2020-09-04,"-0.0147","0.0058","0.0008","-0.0147","0.0034","0.0033"
"1","A",2020-09-11,"-0.0248","-0.0136","0.0180","-0.0283","-0.0099","0.0257"
"1","A",2020-09-18,"0.0221","-0.0014","0.0116","0.0229","-0.0031","0.0045"
"1","A",2020-09-25,"-0.0357","0.0006","-0.0105","-0.0356","0.0005","-0.0096"
"1","A",2020-09-30,"-0.0013","-0.0176","-0.0066","-0.0018","-0.0173","-0.0059"
"1","A",2020-10-09,"0.0158","0.0076","0.0001","0.0162","0.0064","-0.0031"
"1","A",2020-10-16,"0.0202","0.0057","0.0060","0.0200","0.0053","-0.0030"
"1","A",2020-10-23,"-0.0148","-0.0088","0.0163","-0.0163","-0.0056","0.0178"
"1","A",2020-10-30,"-0.0181","-0.0189","-0.0141","-0.0183","-0.0184","-0.0153"
"1","A",2020-11-06,"0.0266","-0.0118","0.0076","0.0268","-0.0095","0.0059"
"1","A",2020-11-13,"-0.0016","0.0074","0.0037","-0.0008","0.0075","0.0005"
"1","A",2020-11-20,"0.0216","0.0026","0.0185","0.0209","0.0038","0.0227"
"1","A",2020-11-27,"0.0101","-0.0099","0.0147","0.0098","-0.0103","0.0148"
"1","A",2020-12-04,"0.0088","0.0018","-0.0229","0.0097","-0.0047","-0.0213"
"1","A",2020-12-11,"-0.0294","-0.0086","-0.0118","-0.0292","-0.0094","-0.0060"
"1","A",2020-12-18,"0.0147","-0.0221","-0.0005","0.0137","-0.0173","0.0051"
"1","A",2020-12-25,"0.0005","-0.0168","-0.0071","0.0000","-0.0152","0.0009"
"1","A",2020-12-31,"0.0219","-0.0197","-0.0198","0.0215","-0.0204","-0.0162"
"1","A",2021-01-08,"0.0279","-0.0784","-0.0111","0.0274","-0.0780","-0.0103"
"1","A",2021-01-15,"-0.0035","-0.0082","0.0029","-0.0038","-0.0083","-0.0029"
"1","A",2021-01-22,"0.0072","0.0039","-0.0218","0.0096","0.0021","-0.0311"
"1","A",2021-01-29,"-0.0337","-0.0050","-0.0022","-0.0351","-0.0060","-0.0111"
"1","A",2021-02-05,"0.0064","-0.0278","-0.0184","0.0036","-0.0280","-0.0231"
"1","A",2021-02-10,"0.0443","-0.0327","-0.0181","0.0437","-0.0323","-0.0206"
"1","A",2021-02-19,"0.0122","0.0359","0.0350","0.0125","0.0395","0.0461"
"1","A",2021-02-26,"-0.0506","0.0488","0.0341","-0.0495","0.0477","0.0431"
"1","A",2021-03-05,"-0.0021","0.0431","0.0191","-0.0024","0.0452","0.0234"
"1","A",2021-03-12,"-0.0122","-0.0037","0.0294","-0.0141","-0.0028","0.0395"
"1","A",2021-03-19,"-0.0148","0.0269","-0.0038","-0.0133","0.0245","-0.0084"
"1","A",2021-03-26,"0.0023","0.0013","-0.0111","0.0031","0.0015","-0.0155"
"1","A",2021-04-02,"0.0199","-0.0260","-0.0190","0.0188","-0.0259","-0.0156"
"1","A",2021-04-09,"-0.0105","0.0195","0.0144","-0.0087","0.0234","0.0191"
"1","A",2021-04-16,"-0.0070","0.0083","0.0100","-0.0081","0.0096","0.0136"
"1","A",2021-04-23,"0.0127","-0.0142","-0.0223","0.0129","-0.0162","-0.0282"
"1","A",2021-04-30,"-0.0079","-0.0130","0.0138","-0.0099","-0.0100","0.0152"
"1","A",2021-05-07,"-0.0060","0.0094","0.0384","-0.0067","0.0170","0.0469"
"1","A",2021-05-14,"0.0202","0.0039","-0.0229","0.0207","0.0047","-0.0122"
"1","A",2021-05-21,"-0.0012","-0.0095","-0.0083","-0.0007","-0.0068","-0.0111"
"1","A",2021-05-28,"0.0322","-0.0050","-0.0171","0.0328","-0.0058","-0.0157"
"1","A",2021-06-04,"-0.0015","0.0174","-0.0058","-0.0016","0.0142","-0.0134"
"1","A",2021-06-11,"-0.0017","-0.0012","0.0183","-0.0006","-0.0013","0.0228"
"1","A",2021-06-18,"-0.0179","0.0078","-0.0051","-0.0158","0.0102","-0.0027"
"1","A",2021-06-25,"0.0244","-0.0055","0.0071","0.0244","-0.0055","0.0099"
"1","A",2021-07-02,"-0.0249","0.0003","-0.0078","-0.0268","0.0008","-0.0058"
"1","A",2021-07-09,"0.0017","0.0043","-0.0004","0.0043","0.0035","-0.0071"
"1","A",2021-07-16,"0.0082","-0.0025","-0.0063","0.0078","-0.0037","-0.0047"
"1","A",2021-07-23,"0.0018","0.0040","-0.0108","0.0017","0.0040","-0.0119"
"1","A",2021-07-30,"-0.0460","0.0070","-0.0031","-0.0459","0.0051","-0.0069"
"1","A",2021-08-06,"0.0190","-0.0078","-0.0084","0.0181","-0.0106","-0.0078"
"1","A",2021-08-13,"0.0182","0.0174","0.0156","0.0181","0.0179","0.0165"
"1","A",2021-08-20,"-0.0256","0.0105","0.0378","-0.0246","0.0106","0.0390"
"1","A",2021-08-27,"0.0296","0.0007","0.0017","0.0259","-0.0018","0.0002"
"1","A",2021-09-03,"0.0215","-0.0128","0.0550","0.0206","-0.0115","0.0549"
"1","A",2021-09-10,"0.0352","-0.0112","0.0428","0.0339","-0.0141","0.0358"
"1","A",2021-09-17,"-0.0217","0.0188","0.0072","-0.0218","0.0170","0.0062"
"1","A",2021-09-24,"-0.0015","-0.0098","0.0080","-0.0014","-0.0113","0.0060"
"1","A",2021-09-30,"-0.0130","-0.0134","-0.0270","-0.0140","-0.0102","-0.0243"
"1","A",2021-10-08,"0.0077","0.0134","-0.0079","0.0069","0.0148","-0.0048"
"1","A",2021-10-15,"-0.0051","-0.0142","-0.0476","-0.0065","-0.0124","-0.0524"
"1","A",2021-10-22,"0.0019","0.0041","-0.0086","0.0017","0.0037","-0.0141"
"1","A",2021-10-29,"-0.0124","-0.0063","-0.0282","-0.0115","-0.0105","-0.0294"
"1","A",2021-11-05,"-0.0183","0.0368","-0.0365","-0.0174","0.0373","-0.0346"
"1","A",2021-11-12,"0.0109","0.0284","-0.0067","0.0114","0.0264","-0.0062"
"1","A",2021-11-19,"0.0042","0.0174","0.0014","0.0049","0.0163","-0.0023"
"1","A",2021-11-26,"-0.0003","0.0076","-0.0055","-0.0004","0.0098","-0.0045"
"1","A",2021-12-03,"0.0143","-0.0030","0.0278","0.0142","-0.0027","0.0290"
"1","A",2021-12-10,"0.0183","-0.0136","-0.0185","0.0177","-0.0156","-0.0179"
"1","A",2021-12-17,"-0.0086","0.0328","0.0384","-0.0078","0.0266","0.0362"
"1","A",2021-12-24,"-0.0016","-0.0091","-0.0048","-0.0025","-0.0060","-0.0028"
"1","A",2021-12-31,"0.0032","0.0147","0.0008","0.0038","0.0196","0.0036"
"1","A",2022-01-07,"-0.0135","0.0112","0.0430","-0.0137","0.0126","0.0493"
"1","A",2022-01-14,"-0.0188","0.0206","-0.0042","-0.0184","0.0208","-0.0066"
"1","A",2022-01-21,"0.0031","-0.0297","0.0234","0.0018","-0.0299","0.0239"
"1","A",2022-01-28,"-0.0460","-0.0030","0.0069","-0.0454","-0.0042","0.0060"
"1","A",2022-02-11,"0.0366","-0.0060","0.0738","0.0355","-0.0034","0.0750"
"1","A",2022-02-18,"0.0063","0.0089","-0.0210","0.0061","0.0098","-0.0174"
"1","A",2022-02-25,"-0.0150","0.0109","-0.0206","-0.0145","0.0096","-0.0213"
"1","A",2022-03-04,"0.0007","0.0053","0.0398","0.0004","0.0079","0.0464"
"1","A",2022-03-11,"-0.0397","0.0056","-0.0055","-0.0407","0.0106","-0.0008"
"1","A",2022-03-18,"-0.0180","0.0054","0.0027","-0.0178","0.0048","0.0024"
"1","A",2022-03-25,"-0.0105","0.0262","0.0335","-0.0111","0.0231","0.0310"
"1","A",2022-04-01,"0.0243","-0.0157","0.0292","0.0230","-0.0170","0.0283"
"1","A",2022-04-08,"-0.0065","-0.0071","0.0317","-0.0065","-0.0036","0.0369"
"1","A",2022-04-15,"-0.0097","-0.0257","-0.0019","-0.0109","-0.0227","0.0060"
"1","A",2022-04-22,"-0.0386","0.0000","-0.0140","-0.0383","0.0014","-0.0100"
"1","A",2022-04-29,"-0.0120","-0.0599","-0.0088","-0.0142","-0.0601","-0.0050"
"1","A",2022-05-06,"-0.0173","0.0217","-0.0099","-0.0161","0.0243","-0.0134"
"1","A",2022-05-13,"0.0242","0.0272","-0.0068","0.0247","0.0254","-0.0078"
"1","A",2022-05-20,"0.0193","0.0046","-0.0171","0.0192","0.0050","-0.0193"
"1","A",2022-05-27,"-0.0021","0.0113","0.0219","-0.0023","0.0148","0.0227"
"1","A",2022-06-02,"0.0146","0.0067","-0.0384","0.0150","0.0033","-0.0411"
"1","A",2022-06-10,"0.0311","-0.0276","0.0004","0.0303","-0.0251","-0.0063"
"1","A",2022-06-17,"0.0105","-0.0010","-0.0334","0.0106","-0.0020","-0.0366"
"1","A",2022-06-24,"0.0107","0.0110","-0.0275","0.0110","0.0051","-0.0304"
"1","A",2022-07-01,"0.0151","-0.0154","-0.0033","0.0146","-0.0137","0.0015"
"1","A",2022-07-08,"-0.0100","0.0026","0.0037","-0.0099","0.0004","0.0035"
"1","A",2022-07-15,"-0.0313","0.0068","-0.0053","-0.0306","0.0045","-0.0030"
"1","A",2022-07-22,"0.0127","0.0358","0.0015","0.0129","0.0364","0.0021"
"1","A",2022-07-29,"-0.0069","0.0201","0.0036","-0.0062","0.0202","-0.0024"
"1","A",2022-08-05,"-0.0126","-0.0117","-0.0250","-0.0126","-0.0104","-0.0263"
"1","A",2022-08-12,"0.0172","0.0120","0.0125","0.0171","0.0114","0.0133"
"1","A",2022-08-19,"-0.0052","0.0146","0.0149","-0.0046","0.0127","0.0170"
"1","A",2022-08-26,"0.0002","-0.0214","0.0267","-0.0012","-0.0201","0.0334"
"1","A",2022-09-02,"-0.0152","0.0099","0.0192","-0.0154","0.0124","0.0228"
"1","A",2022-09-09,"0.0251","-0.0185","0.0221","0.0248","-0.0166","0.0208"
"1","A",2022-09-16,"-0.0414","-0.0042","-0.0074","-0.0421","-0.0030","-0.0074"
"1","A",2022-09-23,"-0.0084","-0.0090","0.0220","-0.0082","-0.0083","0.0210"
"1","A",2022-09-30,"-0.0202","-0.0204","-0.0186","-0.0211","-0.0185","-0.0169"
"1","A",2022-10-14,"0.0126","0.0259","-0.0076","0.0133","0.0259","-0.0054"
"1","A",2022-10-21,"-0.0151","0.0197","0.0122","-0.0142","0.0195","0.0129"
"1","A",2022-10-28,"-0.0455","0.0118","0.0016","-0.0442","0.0097","0.0016"
"1","A",2022-11-04,"0.0491","0.0136","-0.0427","0.0496","0.0103","-0.0494"
"1","A",2022-11-11,"0.0105","0.0070","0.0242","0.0101","0.0084","0.0293"
"1","A",2022-11-18,"0.0019","0.0147","-0.0119","0.0019","0.0150","-0.0157"
"1","A",2022-11-25,"0.0052","-0.0137","0.0447","0.0051","-0.0154","0.0455"
"1","A",2022-12-02,"0.0179","0.0105","-0.0195","0.0174","0.0126","-0.0150"
"1","A",2022-12-09,"0.0184","-0.0180","-0.0044","0.0178","-0.0164","-0.0081"
"1","A",2022-12-16,"-0.0099","-0.0046","-0.0047","-0.0107","-0.0030","-0.0014"
"1","A",2022-12-23,"-0.0358","-0.0103","-0.0032","-0.0364","-0.0124","-0.0036"
"1","A",2022-12-30,"0.0118","0.0053","-0.0085","0.0125","0.0052","-0.0062"
"1","AB",2001-01-05,"0.0245","-0.0039","0.0048","0.0247","0.0013","0.0029"
"1","AB",2001-01-12,"-0.0133","-0.0054","0.0200","-0.0105","-0.0029","0.0145"
"1","AB",2001-01-19,"-0.0207","-0.0112","-0.0117","-0.0194","-0.0063","0.0009"
"1","AB",2001-02-09,"-0.0549","-0.0076","0.0116","-0.0524","-0.0060","0.0210"
"1","AB",2001-02-16,"-0.0092","0.0076","0.0038","-0.0090","0.0094","0.0064"
"1","AB",2001-02-23,"-0.0029","-0.0079","0.0117","-0.0035","-0.0024","0.0034"
"1","AB",2001-03-02,"0.0360","0.0485","0.0633","0.0257","0.0347","0.0355"
"1","AB",2001-03-09,"0.0195","0.0160","0.0246","0.0141","0.0075","0.0083"
"1","AB",2001-03-16,"0.0054","0.0184","0.0092","0.0040","0.0186","0.0135"
"1","AB",2001-03-23,"0.0169","0.0035","0.0158","0.0162","-0.0005","0.0092"
"1","AB",2001-03-30,"0.0330","0.0257","0.0415","0.0286","0.0162","0.0207"
"1","AB",2001-04-06,"-0.0026","0.0154","0.0040","-0.0022","0.0134","0.0052"
"1","AB",2001-04-13,"0.0199","0.0138","0.0184","0.0174","0.0102","0.0067"
"1","AB",2001-04-20,"0.0061","0.0236","0.0059","0.0034","0.0139","-0.0068"
"1","AB",2001-04-27,"-0.0195","0.0071","-0.0142","-0.0177","0.0094","-0.0040"
"1","AB",2001-04-30,"0.0038","0.0061","0.0023","0.0019","0.0079","0.0004"
"1","AB",2001-05-11,"0.0212","0.0306","0.0216","0.0175","0.0270","0.0208"
"1","AB",2001-05-18,"0.0237","0.0200","0.0011","0.0224","0.0120","-0.0052"
"1","AB",2001-05-25,"-0.0003","0.0345","0.0243","-0.0036","0.0306","0.0161"
"1","AB",2001-06-01,"0.0103","0.0151","0.0018","0.0123","0.0129","0.0018"
"1","AB",2001-06-08,"-0.0009","-0.0031","-0.0088","0.0011","-0.0037","-0.0016"
"1","AB",2001-06-15,"-0.0086","-0.0124","-0.0268","-0.0057","-0.0092","-0.0148"
"1","AB",2001-06-22,"-0.0025","-0.0046","0.0067","-0.0019","-0.0058","0.0089"
"1","AB",2001-06-29,"0.0076","0.0071","0.0167","0.0060","0.0058","0.0111"
"1","AB",2001-07-06,"-0.0225","-0.0053","-0.0101","-0.0220","-0.0039","-0.0058"
"1","AB",2001-07-13,"-0.0040","0.0057","0.0075","-0.0044","0.0063","0.0020"
"1","AB",2001-07-20,"0.0048","-0.0024","-0.0156","0.0077","-0.0087","-0.0090"
"1","AB",2001-07-27,"-0.0544","0.0023","-0.0110","-0.0527","0.0005","-0.0064"
"1","AB",2001-08-03,"-0.0574","-0.0058","-0.0235","-0.0526","-0.0124","-0.0180"
"1","AB",2001-08-10,"0.0057","0.0092","0.0185","0.0021","0.0152","0.0134"
"1","AB",2001-08-17,"-0.0200","-0.0005","-0.0225","-0.0167","-0.0055","-0.0165"
"1","AB",2001-08-24,"-0.0125","0.0065","0.0197","-0.0186","0.0108","0.0134"
"1","AB",2001-08-31,"-0.0285","-0.0043","-0.0073","-0.0285","-0.0052","-0.0084"
"1","AB",2001-09-07,"-0.0103","-0.0028","0.0057","-0.0138","-0.0004","0.0014"
"1","AB",2001-09-14,"-0.0007","-0.0114","-0.0118","0.0043","-0.0180","-0.0069"
